experiment_id,network,embedding_model,category,prompt_or_pair,ftle,r_squared,num_pairs,num_timesteps
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Pixtral,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting next to a campfire,0.005978645445896707,0.8359109446606015,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Pixtral,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting by a fire,0.005635514575665501,0.6202909809877863,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Pixtral,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting next to a campfire,0.005294935972912272,0.6242748052073013,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Pixtral,Qwen3Embed,paraphrase,a penguin sitting by a fire || a penguin sitting next to a campfire,0.004751659190043269,0.7415656702504629,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting beside a campfire,0.003432414627884248,0.6940263714877779,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a campfire,0.0039020685907907504,0.747632668102054,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a fire,0.0025748002571405497,0.4586828310500559,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting next to a campfire,0.003518774351027623,0.6021574452643608,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a campfire,0.004174554387832937,0.7827376858067085,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting by a fire,0.002379204321508392,0.4649362192022075,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting beside a campfire || a penguin sitting next to a campfire,0.0025186143374518973,0.4575025991982411,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting by a fire,0.00295821292408481,0.6261672996337376,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting by a campfire || a penguin sitting next to a campfire,0.0037361973004259143,0.6665877890976621,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Qwen25VL,Qwen3Embed,paraphrase,a penguin sitting by a fire || a penguin sitting next to a campfire,0.002875759517944588,0.6130580157319252,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Moondream,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting beside a campfire,0.0032441659048593023,0.5476891029601236,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Moondream,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a campfire,0.0022890651211665202,0.37963694965519623,64,100
